text,type,count-occurences-total,count-documents
4.85,CARDINAL,1,1
7.25,CARDINAL,1,1
0.90,CARDINAL,17,2
8.60,CARDINAL,1,1
3 0.75,CARDINAL,1,1
4.35,MONEY,1,1
6.90,CARDINAL,1,1
8.05,CARDINAL,1,1
2.35,CARDINAL,1,1
3.85,CARDINAL,1,1
6.15,CARDINAL,4,2
7.50,CARDINAL,1,1
0.50,FAC,1,1
0.50,CARDINAL,2,1
0.50 6.15,CARDINAL,1,1
8 2 0.95,DATE,1,1
5.15,CARDINAL,4,2
7.30,CARDINAL,1,1
8.85,CARDINAL,1,1
3 0.80,CARDINAL,1,1
0.85,CARDINAL,10,4
0.8,DATE,2,2
8.20,CARDINAL,1,1
4.00,CARDINAL,2,2
6.65,CARDINAL,1,1
7.80,CARDINAL,1,1
3.30,DATE,1,1
5.25,CARDINAL,1,1
2337,CARDINAL,1,1
Feffect(μ,PRODUCT,1,1
DN N ×,ORG,1,1
N,GPE,2,2
73539.93,CARDINAL,2,1
248.83,CARDINAL,1,1
D20×20,GPE,1,1
2338,CARDINAL,1,1
D5×5,ORG,2,1
Feffect,ORG,5,1
The Feffect,ORG,1,1
33.49%,PERCENT,1,1
19.86%,PERCENT,1,1
14.52%,PERCENT,1,1
D10×10,GPE,1,1
D10×10,PERSON,1,1
D20×20,ORG,1,1
4 to 6,CARDINAL,1,1
"2339 
 1098111x",DATE,1,1
148.86,CARDINAL,1,1
0.47,CARDINAL,1,1
47328.52,CARDINAL,1,1
195.65,CARDINAL,1,1
0.37,CARDINAL,5,2
66849.93,CARDINAL,1,1
237.83,CARDINAL,1,1
0.36,CARDINAL,5,2
73236.18,CARDINAL,1,1
245.78,CARDINAL,1,1
0.35,CARDINAL,7,2
10 31986.32,CARDINAL,1,1
152.34,CARDINAL,1,1
56524.64,CARDINAL,1,1
196.24,CARDINAL,1,1
0.34,CARDINAL,2,1
67909.99,CARDINAL,1,1
238.45,CARDINAL,1,1
247.83,CARDINAL,1,1
0.33,CARDINAL,8,2
196.11,CARDINAL,1,1
60979.63,CARDINAL,1,1
236.12,CARDINAL,1,1
73284.73,CARDINAL,1,1
246.11,CARDINAL,1,1
4 5,CARDINAL,1,1
6471.74,CARDINAL,1,1
74.13,CARDINAL,1,1
0.48 12949.06,DATE,1,1
17434.37,CARDINAL,1,1
118.42,CARDINAL,1,1
0.39,CARDINAL,3,1
22712.42,CARDINAL,1,1
128.32,CARDINAL,1,1
10 5493.88,CARDINAL,1,1
71.65,CARDINAL,1,1
0.44,CARDINAL,2,2
14340.25,CARDINAL,1,1
99.85,CARDINAL,1,1
17630.75,CARDINAL,1,1
119.11,CARDINAL,1,1
24481.94,CARDINAL,1,1
129.44,CARDINAL,1,1
13540.09,CARDINAL,1,1
98.54,CARDINAL,1,1
17366.66,CARDINAL,1,1
118.39,MONEY,1,1
21098.55,CARDINAL,1,1
126.51 0.34,CARDINAL,1,1
2713.03,CARDINAL,1,1
46.37,CARDINAL,1,1
0.40,DATE,2,1
7268.70,CARDINAL,1,1
75.04,CARDINAL,1,1
18457.60 121.05 0.38,MONEY,1,1
10 2329.52,CARDINAL,1,1
4681.56,CARDINAL,1,1
63.71,CARDINAL,1,1
7551.82,CARDINAL,1,1
76.94,CARDINAL,1,1
18277.76,CARDINAL,1,1
122.99,CARDINAL,1,1
2232.94,CARDINAL,1,1
0.42,CARDINAL,2,2
60.33,CARDINAL,1,1
77.12,MONEY,1,1
17251.71,CARDINAL,1,1
120.61,CARDINAL,1,1
1295.28,CARDINAL,1,1
35.45,CARDINAL,1,1
0.52,CARDINAL,1,1
2809.93,CARDINAL,1,1
49.55,CARDINAL,1,1
0.43,CARDINAL,1,1
3565.07,CARDINAL,1,1
56.72,CARDINAL,1,1
0.41,CARDINAL,1,1
4599.61,CARDINAL,1,1
10 1600.61,CARDINAL,1,1
3071.08,CARDINAL,1,1
51.62,CARDINAL,1,1
3472.98,CARDINAL,1,1
4767.40,CARDINAL,1,1
3033.66,CARDINAL,1,1
52.10,CARDINAL,1,1
3757.27,CARDINAL,1,1
58.06,CARDINAL,1,1
4850.73,CARDINAL,1,1
64.13,CARDINAL,1,1
2340,DATE,1,1
2341,CARDINAL,1,1
7.1,CARDINAL,8,7
Kurakin,PERSON,1,1
87%,PERCENT,2,2
Carlini,GPE,1,1
Taori,PERSON,2,1
89.25%,PERCENT,1,1
35%,PERCENT,1,1
2342,DATE,1,1
Behzadan,PERSON,1,1
Munir,GPE,1,1
Wang,ORG,6,3
Lin,PERSON,9,6
Behzadan,GPE,1,1
Munir36,PERSON,1,1
Huang,PERSON,4,3
Zhu,PERSON,1,1
Table 4,ORG,1,1
Atari,NORP,1,1
Attack,ORG,1,1
Mirjalili,PERSON,2,2
IntraFace Computer,ORG,1,1
Eykholt,PERSON,2,2
CNN,ORG,12,4
DRN,ORG,2,1
Audio,PERSON,1,1
Google Inception Net v3 Computer,ORG,1,1
Corona,LOC,1,1
Implicit Poison,PERSON,3,1
Atari,PRODUCT,1,1
Ma,PERSON,5,3
Batch,PERSON,1,1
Tabular,NORP,1,1
Linear,ORG,12,2
"Pathfinding Dominant Evasion attack 
Abbreviations",WORK_OF_ART,1,1
DDN,ORG,1,1
2344,DATE,1,1
61972025,DATE,1,1
the National Key R&D Program of China,ORG,1,1
the Fundamental Research Funds,ORG,1,1
2018JBZ103 and 2019RC008,DATE,1,1
KX201902,PERSON,1,1
Chen Tong,PERSON,1,1
Liu Jiqiang,PERSON,1,1
Xiang Yingxiao,PERSON,1,1
Niu Wenjia,GPE,1,1
Wang Shuoru,PERSON,1,1
Chang Liang,PERSON,1,1
Wurman PR,ORG,1,1
D'Andrea R,PERSON,1,1
Mountz M. Coordinating,PERSON,1,1
hundreds,CARDINAL,2,2
AI Magazine,ORG,1,1
2008;29(1):1‐9,CARDINAL,1,1
Luckow KS,PERSON,1,1
al. Planning,ORG,1,1
AAAI,ORG,1,1
2016:608‐614,CARDINAL,1,1
Yakovlev K,ORG,1,1
Atzmon D,PERSON,1,1
Stern R. Multi‐agent,PERSON,1,1
Twenty‐Eighth,ORDINAL,1,1
International Joint Conference on Artificial Intelligence,EVENT,1,1
2019:39‐45,CARDINAL,1,1
Harabor DD,PERSON,1,1
Grastien A.,PERSON,1,1
2013:308‐311,CARDINAL,1,1
Watkins C. Learning,PERSON,1,1
Delayed Rewards,PERSON,1,1
Cambridge University,ORG,3,3
1989,DATE,2,2
Mnih V,PERSON,2,1
Kavukcuoglu K,PERSON,1,1
Neural Information Processing Systems,ORG,1,1
2013:1‐9,CARDINAL,1,1
Lillicrap TP,PERSON,1,1
Hunt JJ,PERSON,1,1
Pritzel A,ORG,1,1
2016:168‐174,CARDINAL,1,1
Badia AP,ORG,1,1
Mirza M,ORG,1,1
T. Berkeley,PERSON,1,1
2017,DATE,192,16
Zaremba W,GPE,1,1
2013:1‐10,CARDINAL,1,1
Kurakin A,PERSON,1,1
Bengio S. Adversarial,PERSON,1,1
2017:1‐14,CARDINAL,1,1
Shlens,GPE,1,1
Szegedy C. Explaining,PERSON,1,1
2015:1‐11,CARDINAL,1,1
"2345 
 1098111x",DATE,1,1
Tong C,GPE,1,1
Jiqiang L,PERSON,1,1
Yingxiao X,PERSON,1,1
Int J Intell Syst,PERSON,1,1
2021;36,CARDINAL,1,1
2323‐2346,CARDINAL,1,1
2346,DATE,1,1
Philipp,PRODUCT,1,1
Dario Brescianini1,PERSON,1,1
Titus Cieslewski1,PRODUCT,1,1
Mathias Gehrig1,PERSON,1,1
Manasi,PERSON,1,1
"Davide Scaramuzza1 
Received",PERSON,1,1
8 February 2021,DATE,1,1
19 July 2021,DATE,1,1
19 October 2021,DATE,1,1
2019,DATE,107,15
AlphaPilot Challenge,ORG,5,1
8 m/s,QUANTITY,4,1
second,ORDINAL,78,16
Keyword Drone,ORG,1,1
1.1,CARDINAL,1,1
Motivation,GPE,1,1
recent years,DATE,4,4
Faster,PERSON,1,1
https://youtu.be,GPE,2,1
DGjwm5PZQT8,PERSON,1,1
RSS,ORG,5,2
Philipp Foehn,PERSON,1,1
Dario Brescianini,PERSON,1,1
Elia Kaufmann,PERSON,2,2
the Robotics and Perception Group,ORG,1,1
1 Dep,CARDINAL,1,1
Informatics,ORG,1,1
"Neuroinformatics, University of Zurich",ORG,1,1
ETH,ORG,1,1
Zurich,GPE,1,1
Switzerland,GPE,14,5
Lockheed Martin,PERSON,1,1
the Drone Racing League,ORG,1,1
AlphaPilot,ORG,3,1
one day,DATE,1,1
Moon,PERSON,2,2
"2017, 2019",DATE,1,1
2 https://www.nytimes.com/2019/03/26/technology/alphapilotaidroneracing.html,CARDINAL,1,1
123,CARDINAL,38,4
1.2 Related,CARDINAL,1,1
GPSdenied,ORG,7,3
SLAM,ORG,3,3
VIO,ORG,37,1
Cadena,GPE,2,1
2016,DATE,123,16
Mourikis,PERSON,1,1
Roumeliotis,GPE,2,1
2007,DATE,22,8
Bloesch,PERSON,2,1
2015,DATE,134,16
Qin,PERSON,2,1
2018,DATE,119,15
Forster et al,PERSON,1,1
Delmerico et al.,PERSON,1,1
Jung et al.,PERSON,4,1
Kaufmann et al.,PERSON,4,2
Li et al.,GPE,1,1
Kaufmann et al,LOC,1,1
2012,DATE,58,12
Mueller,ORG,2,2
Zhou et al,PERSON,1,1
Gao,PERSON,9,5
Falanga et al,PERSON,1,1
Spasojevic,PERSON,2,1
2020,DATE,107,14
the AlphaPilot Challenge,ORG,2,1
Loock,GPE,3,1
2013,DATE,72,13
Ryou et al,PERSON,2,1
Foehn,ORG,3,1
Foehn,GPE,1,1
Kaufmann et al,ORG,1,1
CNNbased,ORG,2,1
Kalman,PERSON,44,5
LaValle,PERSON,2,1
2006,DATE,19,9
Foehn et al,ORG,1,1
Sect.,GPE,4,2
Sect,GPE,3,1
8.1,CARDINAL,3,2
8.3,CARDINAL,3,2
more than 400,CARDINAL,2,2
Guerra,ORG,2,1
nine,CARDINAL,4,4
six,CARDINAL,11,7
$1 million,MONEY,1,1
approximately 300,CARDINAL,1,1
about 74,CARDINAL,1,1
Fig,PERSON,141,9
3.4kg,QUANTITY,1,1
